Ticker;SimFinId;Currency;"Fiscal Year";"Fiscal Period";"Report Date";"Publish Date";"Restated Date";"Shares (Basic)";"Shares (Diluted)";Revenue;"Provision for Loan Losses";"Net Revenue after Provisions";"Total Non-Interest Expense";"Operating Income (Loss)";"Non-Operating Income (Loss)";"Pretax Income (Loss)";"Income Tax (Expense) Benefit, Net";"Income (Loss) from Continuing Operations";"Net Extraordinary Gains (Losses)";"Net Income";"Net Income (Common)"
ARI;498489;USD;2011;Q2;2011-06-30;2011-08-05;2012-08-09;17684991;17684991;8585000;;8585000;-1412000;7173000;;6520000;;6520000;;6520000;6520000
ARI;498489;USD;2011;Q3;2011-09-30;2011-11-04;2012-11-08;19966594;19966594;8997000;;8997000;-1297000;7700000;;5512000;;5512000;;5512000;5512000
ARI;498489;USD;2011;Q4;2011-12-31;2012-02-06;2014-02-27;20041444;21035940;9651000;;9651000;-1563000;8088000;;8670000;;8670000;;8670000;8670000
ARI;498489;USD;2012;Q1;2012-03-31;2012-05-07;2013-05-03;20561032;20966426;10161000;;10161000;-2036000;8125000;;9093000;;9093000;;9093000;9093000
ARI;498489;USD;2012;Q2;2012-06-30;2012-08-09;2013-08-06;20570616;20991450;10659000;;10659000;-2762000;7897000;;9910000;;9910000;;9910000;9910000
ARI;498489;USD;2012;Q3;2012-09-30;2012-11-08;2013-11-06;20571478;20992312;11718000;;11718000;-2430000;9288000;;12211000;;12211000;;12211000;10992000
ARI;498489;USD;2012;Q4;2012-12-31;2013-02-24;2015-02-26;27334418;27645088;10269000;;10269000;-1315000;8954000;;8967000;;8967000;;8967000;7107000
ARI;498489;USD;2013;Q1;2013-03-31;2013-05-03;2014-04-30;30105939;30480689;14907000;;14907000;-1895000;13012000;;11932000;;11932000;;11932000;10072000
ARI;498489;USD;2013;Q2;2013-06-30;2013-08-06;2014-07-30;36880410;37373885;14649000;;14649000;-1437000;13212000;;11789000;;11789000;;11789000;9929000
ARI;498489;USD;2013;Q3;2013-09-30;2013-11-06;2014-10-31;36883002;37379469;16164000;;16164000;-1793000;14371000;0;12900000;;12900000;;12900000;11041000
ARI;498489;USD;2013;Q4;2013-12-31;2014-02-24;2016-02-26;36979493;37484977;17395000;;17395000;-2438000;14957000;;15864000;;15864000;;15864000;14003000
ARI;498489;USD;2014;Q1;2014-03-31;2014-04-30;2015-04-30;37122842;37341050;16838000;;16838000;-1442000;15396000;;17580000;;17580000;;17580000;15720000
ARI;498489;USD;2014;Q2;2014-06-30;2014-07-30;2015-07-29;42888747;43099354;20822000;;20822000;-1479000;19343000;0;23958000;;23958000;;23958000;22098000
ARI;498489;USD;2014;Q3;2014-09-30;2014-10-31;2015-11-06;46848675;47068929;23398000;;23398000;-1434000;21964000;-88000;19159000;;19159000;;19159000;17299000
ARI;498489;USD;2014;Q4;2014-12-31;2015-02-24;2017-02-28;46996756;47229887;23822000;;23822000;-1796000;22026000;;22042000;;22042000;;22042000;20182000
ARI;498489;USD;2015;Q1;2015-03-31;2015-04-30;2016-04-27;49563822;50171687;24781000;;24781000;-2355000;22426000;0;25513000;;25513000;;25513000;23653000
ARI;498489;USD;2015;Q2;2015-06-30;2015-07-29;2016-07-28;58429155;59022217;28936000;0;28936000;-2059000;26877000;384000;24658000;;24658000;;24658000;22798000
ARI;498489;USD;2015;Q3;2015-09-30;2015-11-06;2016-11-01;59355613;59934008;34833000;0;34833000;-2099000;32734000;108000;25847000;;25847000;;25847000;23543000
ARI;498489;USD;2015;Q4;2015-12-31;2016-02-24;2018-02-14;67347594;67965208;38930000;;38930000;-2979000;35951000;2972000;27238000;;27238000;;27238000;21378000
ARI;498489;USD;2016;Q1;2016-03-31;2016-04-27;2017-05-02;67385191;68327718;41578000;;41578000;-8185000;33393000;68000;18616000;;18616000;;18616000;12801000
ARI;498489;USD;2016;Q2;2016-06-30;2016-07-28;2017-08-01;67402311;68374557;41698000;-15000000;26698000;-4922000;21776000;59000;10338000;;10338000;;10338000;4478000
ARI;498489;USD;2016;Q3;2016-09-30;2016-11-01;2017-11-01;71919549;72861611;47496000;0;47496000;-8352000;39144000;80000;69893000;;69893000;;69893000;60583000
ARI;498489;USD;2016;Q4;2016-12-31;2017-02-24;2018-02-14;82778445;83656518;51385000;;51385000;-3524000;47861000;-303000;59029000;;59029000;;59029000;49719000
ARI;498489;USD;2017;Q1;2017-03-31;2017-05-02;2018-05-02;91612447;92998250;49446000;;49446000;-5758000;43688000;458000;47125000;;47125000;;47125000;37815000
ARI;498489;USD;2017;Q2;2017-06-30;2017-08-01;2018-07-25;95428134;96796289;54726000;-5000000;49726000;-5200000;44526000;-3305000;36235000;;36235000;;36235000;26925000
ARI;498489;USD;2017;Q3;2017-09-30;2017-11-01;2017-11-01;105446704;106812721;59215000;0;59215000;-4629000;54586000;0;68356000;;68356000;;68356000;57208000
ARI;498489;USD;2017;Q4;2017-12-31;2018-02-13;2018-02-14;106949327;108323180;23672000;;23672000;-5138000;18534000;0;41315000;;41315000;;41315000;34322000
ARI;498489;USD;2018;Q1;2018-03-31;2018-05-02;2018-05-02;110211853;111871429;55338000;;55338000;-4998000;50340000;0;49433000;;49433000;;49433000;42598000
ARI;498489;USD;2018;Q2;2018-06-30;2018-07-25;2018-07-25;123019993;124629317;62109000;-5000000;57109000;-5652000;51457000;0;55346000;;55346000;;55346000;48512000
ARI;498489;USD;2018;Q3;2018-09-30;2018-10-24;2018-10-24;129188343;153918435;68392000;0;68392000;-5843000;62549000;0;62217000;;62217000;;62217000;55381000
ARI;498489;USD;2018;Q4;2018-12-31;2019-02-13;2019-02-13;134168103;224866879;68467000;;53467000;-3977000;49490000;0;52990000;;52990000;;52990000;46155000
ARI;498489;USD;2019;Q1;2019-03-31;2019-04-24;2019-04-24;134607107;164683086;73735000;;73735000;-6151000;67584000;;67758000;;67758000;;67758000;60923000
AXP;413080;USD;2009;Q2;2009-06-30;2009-06-30;2010-08-05;1162000000;1165000000;6092000000;-1584000000;4508000000;-4090000000;418000000;;418000000;-76000000;342000000;-5000000;337000000;337000000
AXP;413080;USD;2009;Q3;2009-09-30;2009-10-30;2010-11-03;1178000000;1181000000;6016000000;-1178000000;4838000000;-3920000000;918000000;;918000000;-276000000;642000000;-2000000;640000000;640000000
AXP;413080;USD;2009;Q4;2009-12-31;2010-02-26;2012-02-24;1176000000;1182000000;6302000000;-748000000;5554000000;-4593000000;961000000;;961000000;-251000000;710000000;6000000;716000000;716000000
AXP;413080;USD;2010;Q1;2010-03-31;2010-05-05;2011-05-04;1185000000;1191000000;6560000000;-943000000;5617000000;-4365000000;1252000000;;1252000000;-367000000;885000000;;885000000;885000000
AXP;413080;USD;2010;Q2;2010-06-30;2010-08-05;2011-08-03;1190000000;1197000000;6805000000;-652000000;6153000000;-4558000000;1595000000;;1595000000;-578000000;1017000000;0;1017000000;1017000000
AXP;413080;USD;2010;Q3;2010-09-30;2010-11-03;2011-11-02;1193000000;1199000000;6973000000;-373000000;6600000000;-4960000000;1640000000;;1640000000;-547000000;1093000000;;1093000000;1093000000
AXP;413080;USD;2010;Q4;2010-12-31;2010-12-31;2013-02-22;1184000000;1193000000;7244000000;-239000000;7005000000;-5528000000;1477000000;;1477000000;-415000000;1062000000;;1062000000;1062000000
AXP;413080;USD;2011;Q1;2011-03-31;2011-03-31;2012-05-01;1192000000;1198000000;7031000000;-97000000;6934000000;-5202000000;1732000000;;1732000000;-555000000;1177000000;;1177000000;1177000000
AXP;413080;USD;2011;Q2;2011-06-30;2011-06-30;2012-08-02;1190000000;1197000000;7618000000;-357000000;7261000000;-5496000000;1765000000;;1765000000;-470000000;1295000000;36000000;1331000000;1331000000
AXP;413080;USD;2011;Q3;2011-09-30;2011-11-02;2012-10-31;1175000000;1181000000;7571000000;-249000000;7322000000;-5611000000;1711000000;;1711000000;-476000000;1235000000;0;1235000000;1235000000
AXP;413080;USD;2011;Q4;2011-12-31;2012-02-24;2014-02-25;1155000000;1160000000;7742000000;-409000000;7333000000;-5585000000;1748000000;;1748000000;-556000000;1192000000;;1192000000;1192000000
